duration (s),mode,map,score,kills,deaths,k/d,assists,headshots,accuracy (%),avg kill dist (m),fave weapon,fave rig,fave trait,win?
704,0,3,223,26,27,0.96,12,2,0.252,12.7,1,3,3,0
704,0,3,223,20,27,0.74,10,1,0.203,18.6,0,2,2,0
704,0,3,223,21,26,0.81,8,0,0.238,14.7,1,0,0,0
704,0,3,223,26,25,1.04,8,3,0.208,16.0,1,1,1,0
625,2,1,7,22,21,1.05,4,0,0.28,13.2,3,3,3,1
625,2,1,7,23,23,1,10,0,0.215,12.5,3,1,1,1
625,2,1,7,33,22,1.5,10,1,0.286,14.5,1,0,0,1
625,2,1,7,22,21,1.05,8,1,0.223,15.2,1,4,4,1
625,2,1,3,22,24,0.92,11,0,0.222,16.9,0,2,2,0
625,2,1,3,22,23,0.96,8,1,0.183,16.7,1,3,3,0
625,2,1,3,21,25,0.84,9,0,0.228,11.6,3,4,4,0
625,2,1,3,22,28,0.79,9,2,0.263,11.4,3,0,0,0
601,1,3,2,7,6,1.17,1,1,0.278,18.1,0,1,1,0
601,1,3,2,4,6,0.67,2,0,0.194,23.2,0,0,0,0
601,1,3,2,3,7,0.43,2,0,0.071,24.6,1,2,2,0
601,1,3,2,6,6,1,1,0,0.292,7.0m,3,3,3,0
601,1,3,6,9,6,1.5,4,0,0.202,8.4m,3,0,0,1
601,1,3,6,3,5,0.6,1,0,0.143,11.1,3,1,1,1
601,1,3,6,9,5,1.8,3,0,0.108,12.1,1,2,2,1
601,1,3,6,3,5,0.6,6,1,0.184,27.5,0,3,3,1
647,0,0,250,27,20,1.35,2,3,0.215,14.8,3,3,3,1
647,0,0,250,22,23,0.96,9,3,0.18,20.8,1,1,1,1
647,0,0,250,23,22,1.05,13,2,0.245,21.4,0,0,0,1
647,0,0,250,20,23,0.87,13,0,0.209,18.3,0,2,2,1
647,0,0,220,20,22,0.91,12,0,0.222,19.3,0,2,2,0
647,0,0,220,21,26,0.81,8,1,0.166,23.9,0,3,3,0
647,0,0,220,22,20,1.1,10,0,0.183,20.3,1,1,1,0
647,0,0,220,25,24,1.04,10,3,0.201,27.5,1,0,0,0
625,2,1,4,18,26,0.69,10,1,0.23,16.5,0,1,1,0
625,2,1,4,23,21,1.1,6,2,0.243,13.0,1,0,0,0
625,2,1,4,17,29,0.59,13,1,0.059,11.1,3,2,2,0
625,2,1,4,29,26,1.12,7,1,0.207,10.1,3,4,4,0
625,2,1,5,26,26,1,8,3,0.27,11.8,3,0,0,1
625,2,1,5,25,23,1.09,7,1,0.222,9.0m,3,1,1,1
625,2,1,5,24,19,1.26,9,1,0.124,17.7,1,4,4,1
625,2,1,5,27,19,1.42,7,0,0.249,19.3,0,3,3,1
582,0,4,187,26,27,0.96,8,1,0.209,12.9,3,1,1,0
582,0,4,187,15,21,0.71,11,3,0.181,14.9,1,0,0,0
582,0,4,187,29,20,1.45,11,1,0.248,16.8,1,2,2,0
582,0,4,187,13,24,0.54,8,2,0.243,16.0,3,3,3,0
582,0,4,250,22,20,1.1,11,3,0.265,16.9,3,0,0,1
582,0,4,250,24,19,1.26,7,4,0.198,15.6,1,2,2,1
582,0,4,250,21,26,0.81,10,0,0.214,15.1,1,3,3,1
582,0,4,250,24,18,1.33,4,0,0.221,14.3,3,1,1,1
538,0,4,130,23,23,1,7,3,0.213,14.1,3,0,0,0
538,0,4,130,23,27,0.85,6,4,0.21,13.4,3,1,1,0
538,0,4,130,16,26,0.62,6,2,0.235,11.5,3,3,3,0
538,0,4,130,18,24,0.75,11,0,0.194,12.2,1,2,2,0
538,0,4,250,21,20,1.05,6,1,0.19,16.9,3,3,3,1
538,0,4,250,23,21,1.1,11,1,0.212,12.6,1,2,2,1
538,0,4,250,22,22,1,6,3,0.276,13.5,3,1,1,1
538,0,4,250,34,17,2,15,2,0.297,19.7,1,0,0,1
680,1,3,4,5,8,0.62,3,1,0.282,20.6,3,1,1,0
680,1,3,4,7,7,1,0,0,0.235,16.7,0,0,0,0
680,1,3,4,7,8,0.88,2,2,0.21,19.8,1,2,2,0
680,1,3,4,4,7,0.57,2,0,0.166,7.6m,3,3,3,0
680,1,3,6,5,7,0.71,2,0,0.172,15.9,1,0,0,1
680,1,3,6,10,5,2,1,0,0.213,21.8,0,4,4,1
680,1,3,6,7,6,1.17,1,0,0.263,18.6,1,3,3,1
680,1,3,6,8,6,1.33,3,2,0.223,14.3,3,1,1,1
582,0,4,216,16,20,0.8,9,1,0.225,14.2,3,3,3,0
582,0,4,216,23,20,1.15,2,1,0.252,12.1,3,2,2,0
582,0,4,216,25,22,1.14,11,2,0.223,13.4,1,0,0,0
582,0,4,216,25,22,1.14,4,2,0.228,12.0,3,1,1,0
582,0,4,250,22,27,0.81,10,0,0.226,15.9,1,2,2,1
582,0,4,250,19,22,0.86,12,1,0.19,12.6,3,0,0,1
582,0,4,250,20,21,0.95,9,2,0.2,10.2,3,3,3,1
582,0,4,250,23,19,1.21,7,1,0.274,17.4,1,1,1,1
672,1,3,3,6,8,0.75,2,0,0.211,11.5,3,0,0,0
672,1,3,3,5,8,0.62,1,0,0.147,16.6,0,1,1,0
672,1,3,3,5,8,0.62,2,0,0.178,8.7m,3,3,3,0
672,1,3,3,3,7,0.43,1,0,0.132,22.4,0,4,4,0
672,1,3,6,6,5,1.2,2,1,0.162,9.5m,3,3,3,1
672,1,3,6,5,4,1.25,4,1,0.13,7.4m,1,2,2,1
672,1,3,6,8,5,1.6,2,1,0.246,18.7,0,1,1,1
672,1,3,6,12,5,2.4,1,1,0.278,36.2,0,0,0,1
507,0,4,94,17,22,0.77,7,0,0.193,17.1,3,0,0,0
507,0,4,94,14,23,0.61,6,0,0.182,15.1,1,1,1,0
507,0,4,94,16,20,0.8,7,5,0.239,15.9,1,2,2,0
507,0,4,94,16,22,0.73,5,0,0.218,9.7m,3,3,3,0
507,0,4,250,14,18,0.78,9,0,0.166,12.5,3,2,2,1
507,0,4,250,31,13,2.38,4,4,0.248,17.3,1,1,1,1
507,0,4,250,20,19,1.05,14,1,0.244,17.5,1,0,0,1
507,0,4,250,22,14,1.57,7,1,0.206,13.5,3,3,3,1
625,2,1,4,21,24,0.88,5,1,0.216,14.2,3,1,1,0
625,2,1,4,21,28,0.75,7,7,0.236,16.8,1,0,0,0
625,2,1,4,21,20,1.05,9,2,0.214,20.8,0,4,4,0
625,2,1,4,15,28,0.54,6,1,0.203,12.4,1,3,3,0
625,2,1,14,27,18,1.5,11,2,0.242,16.7,1,0,0,1
625,2,1,14,23,20,1.15,7,2,0.258,16.7,3,4,4,1
625,2,1,14,28,18,1.56,6,0,0.205,19.9,1,3,3,1
625,2,1,14,22,22,1,2,1,0.229,13.4,3,1,1,1
710,1,3,2,6,7,0.86,3,1,0.245,26.7,0,3,3,0
710,1,3,2,7,7,1,0,0,0.181,14.0,3,2,2,0
710,1,3,2,5,6,0.83,2,0,0.188,11.7,0,0,0,0
710,1,3,2,3,8,0.38,0,0,0.138,8.2m,3,1,1,0
710,1,3,6,6,5,1.2,1,2,0.212,11.3,2,2,2,1
710,1,3,6,8,5,1.6,1,0,0.197,10.8,3,0,0,1
710,1,3,6,10,5,2,2,1,0.239,18.9,1,3,3,1
710,1,3,6,4,6,0.67,2,0,0.197,19.8,1,1,1,1
625,2,1,2,21,30,0.7,6,2,0.226,13.0,3,0,0,0
625,2,1,2,27,25,1.08,12,1,0.244,13.6,1,1,1,0
625,2,1,2,18,25,0.72,6,2,0.229,11.9,3,3,3,0
625,2,1,2,21,25,0.84,8,4,0.197,18.8,0,4,4,0
625,2,1,6,25,25,1,7,1,0.18,12.3,3,2,2,1
625,2,1,6,24,21,1.14,12,2,0.24,16.2,1,4,4,1
625,2,1,6,36,20,1.8,6,1,0.27,17.0,1,1,1,1
625,2,1,6,20,21,0.95,7,0,0.276,21.1,0,0,0,1
747,1,3,6,11,6,1.83,1,0,0.24,14.8,0,0,0,1
747,1,3,6,4,7,0.57,2,0,0.171,18.7,0,1,1,1
747,1,3,6,8,6,1.33,3,0,0.218,10.6,1,2,2,1
747,1,3,6,4,7,0.57,0,0,0.128,13.2,1,3,3,1
747,1,3,4,8,6,1.33,2,0,0.198,24.0,0,2,2,0
747,1,3,4,8,7,1.14,0,0,0.19,35.8,0,1,1,0
747,1,3,4,5,8,0.62,1,0,0.233,12.5,3,0,0,0
747,1,3,4,5,6,0.83,4,0,0.223,11.2,3,3,3,0
625,2,1,11,25,20,1.25,11,0,0.247,17.7,1,4,4,1
625,2,1,11,26,17,1.53,7,0,0.262,22.4,0,2,2,1
625,2,1,11,35,22,1.59,7,2,0.232,18.6,1,0,0,1
625,2,1,11,19,23,0.83,8,0,0.24,11.1,3,1,1,1
625,2,1,2,16,29,0.55,9,0,0.234,15.2,1,4,4,0
625,2,1,2,25,25,1,8,1,0.171,14.8,1,0,0,0
625,2,1,2,16,27,0.59,4,0,0.168,18.2,0,3,3,0
625,2,1,2,25,24,1.04,3,5,0.246,17.6,1,1,1,0
625,2,1,7,27,22,1.23,6,1,0.199,14.5,1,0,0,0
625,2,1,7,17,26,0.65,5,0,0.197,14.5,1,1,1,0
625,2,1,7,21,25,0.84,4,0,0.22,14.9,3,4,4,0
625,2,1,7,20,23,0.87,3,0,0.261,12.8,3,3,3,0
625,2,1,10,23,22,1.05,5,0,0.288,16.6,3,4,4,1
625,2,1,10,30,20,1.5,9,4,0.287,24.9,0,1,1,1
625,2,1,10,20,23,0.87,8,1,0.216,15.6,1,0,0,1
625,2,1,10,23,21,1.1,6,0,0.229,12.0,3,3,3,1
402,0,0,58,7,10,0.7,1,0,0.223,23.1,1,3,3,0
402,0,0,58,6,10,0.6,2,0,0.269,21.2,0,2,2,0
402,0,0,58,9,7,1.29,3,0,0.271,14.5,1,0,0,0
402,0,0,58,2,9,0.22,2,0,0.244,18.5,0,1,1,0
402,0,0,223,5,6,0.83,2,2,0.22,21.1,0,2,2,1
402,0,0,223,4,7,0.57,1,0,0.153,21.6,0,0,0,1
402,0,0,223,17,5,3.4,0,1,0.317,37.8,0,3,3,1
402,0,0,223,10,6,1.67,1,0,0.217,19.5,1,1,1,1
620,0,4,250,26,17,1.53,13,6,0.21,16.5,1,2,2,1
620,0,4,250,21,30,0.7,11,3,0.251,15.5,1,1,1,1
620,0,4,250,25,20,1.25,9,2,0.219,15.0,1,0,0,1
620,0,4,250,20,25,0.8,10,1,0.205,13.9,3,3,3,1
620,0,4,202,24,22,1.09,10,2,0.228,16.3,1,2,2,0
620,0,4,202,24,22,1.09,11,2,0.21,14.9,3,1,1,0
620,0,4,202,26,25,1.04,12,0,0.236,14.4,1,3,3,0
620,0,4,202,18,23,0.78,4,0,0.192,12.1,3,0,0,0
603,0,0,182,17,21,0.81,8,0,0.216,19.9,0,0,0,0
603,0,0,182,21,22,0.95,6,1,0.232,20.6,0,1,1,0
603,0,0,182,22,17,1.29,3,0,0.204,16.7,1,2,2,0
603,0,0,182,22,21,1.05,4,2,0.259,16.0,1,3,3,0
603,0,0,250,25,19,1.32,6,4,0.208,17.9,1,2,2,1
603,0,0,250,14,19,0.74,13,2,0.24,21.5,0,1,1,1
603,0,0,250,31,19,1.63,4,1,0.207,17.5,1,0,0,1
603,0,0,250,11,25,0.44,7,1,0.231,20.7,1,3,3,1
637,0,0,250,21,21,1,14,1,0.246,17.4,0,0,0,1
637,0,0,250,28,19,1.47,15,1,0.256,24.5,0,1,1,1
637,0,0,250,22,18,1.22,7,3,0.177,14.3,1,3,3,1
637,0,0,250,22,19,1.16,11,1,0.211,18.2,1,2,2,1
637,0,0,217,26,24,1.08,5,1,0.225,16.7,0,0,0,0
637,0,0,217,19,22,0.86,6,2,0.143,15.1,1,3,3,0
637,0,0,217,9,21,0.43,5,0,0.157,22.9,0,2,2,0
637,0,0,217,23,26,0.88,9,1,0.245,16.2,1,1,1,0
694,1,3,6,8,6,1.33,3,0,0.164,23.3,0,2,2,1
694,1,3,6,2,4,0.5,2,0,0.106,29.0,0,1,1,1
694,1,3,6,9,3,3,3,2,0.291,10.4,3,0,0,1
694,1,3,6,7,5,1.4,2,0,0.209,12.0,1,3,3,1
694,1,3,2,5,7,0.71,0,0,0.293,21.6,1,2,2,0
694,1,3,2,3,7,0.43,0,0,0.227,14.8,3,1,1,0
694,1,3,2,3,6,0.5,2,1,0.172,13.5,0,3,3,0
694,1,3,2,6,7,0.86,0,1,0.241,14.7,3,0,0,0
820,1,1,4,4,9,0.44,3,0,0.189,14.8,0,2,2,0
820,1,1,4,4,8,0.5,1,0,0.176,26.9,0,0,0,0
820,1,1,4,5,8,0.62,0,0,0.22,17.2,1,3,3,0
820,1,1,4,14,6,2.33,1,0,0.217,18.7,0,1,1,0
820,1,1,6,6,7,0.86,5,0,0.173,16.7,0,0,0,1
820,1,1,6,7,8,0.88,2,0,0.151,13.8,3,3,3,1
820,1,1,6,9,5,1.8,5,0,0.182,24.4,0,2,2,1
820,1,1,6,9,7,1.29,4,2,0.143,22.0,0,1,1,1
625,2,1,4,15,29,0.52,4,2,0.245,15.6,1,4,4,0
625,2,1,4,25,29,0.86,6,2,0.24,12.1,1,1,1,0
625,2,1,4,20,27,0.74,6,0,0.216,13.6,1,0,0,0
625,2,1,4,26,27,0.96,8,0,0.273,15.0,1,3,3,0
625,2,1,10,20,22,0.91,6,0,0.243,16.6,1,2,2,1
625,2,1,10,35,17,2.06,6,1,0.32,12.5,3,1,1,1
625,2,1,10,25,25,1,9,2,0.308,14.4,1,4,4,1
625,2,1,10,32,22,1.45,11,0,0.242,13.5,3,0,0,1
569,0,4,250,24,17,1.41,9,1,0.279,18.4,1,2,2,1
569,0,4,250,23,21,1.1,14,1,0.198,15.9,1,3,3,1
569,0,4,250,22,21,1.05,12,2,0.241,15.3,3,0,0,1
569,0,4,250,23,13,1.77,5,1,0.235,12.9,3,1,1,1
569,0,4,181,13,21,0.62,8,0,0.217,15.7,1,3,3,0
569,0,4,181,15,22,0.68,15,1,0.176,12.3,3,0,0,0
569,0,4,181,19,24,0.79,9,1,0.24,13.6,3,2,2,0
569,0,4,181,24,25,0.96,8,0,0.252,17.4,1,1,1,0
535,0,0,250,33,15,2.2,6,1,0.233,25.3,0,1,1,1
535,0,0,250,13,14,0.93,6,0,0.145,22.0,1,0,0,1
535,0,0,250,23,20,1.15,9,0,0.221,16.6,0,2,2,1
535,0,0,250,17,19,0.89,9,1,0.23,14.6,1,3,3,1
535,0,0,159,17,24,0.71,4,1,0.222,20.5,1,0,0,0
535,0,0,159,19,21,0.9,8,0,0.202,17.7,1,3,3,0
535,0,0,159,18,22,0.82,6,1,0.23,17.5,1,1,1,0
535,0,0,159,14,19,0.74,4,0,0.197,21.6,0,2,2,0
626,2,2,15,29,20,1.45,10,2,0.265,13.7,3,0,0,1
626,2,2,15,23,22,1.05,9,1,0.268,20.9,1,4,4,1
626,2,2,15,30,22,1.36,6,1,0.23,11.1,3,3,3,1
626,2,2,15,26,23,1.13,7,1,0.229,12.0,3,1,1,1
626,2,2,1,20,26,0.77,7,1,0.231,13.4,3,4,4,0
626,2,2,1,23,29,0.79,8,1,0.097,11.2,3,3,3,0
626,2,2,1,24,27,0.89,8,0,0.258,16.5,1,1,1,0
626,2,2,1,20,26,0.77,12,0,0.249,13.1,3,0,0,0
667,0,0,250,22,22,1,9,1,0.22,19.2,0,2,2,1
667,0,0,250,24,15,1.6,9,4,0.221,16.9,0,1,1,1
667,0,0,250,22,24,0.92,10,1,0.212,16.5,0,0,0,1
667,0,0,250,24,22,1.09,2,2,0.288,19.8,0,3,3,1
667,0,0,239,14,24,0.58,7,1,0.233,14.4,1,2,2,0
667,0,0,239,22,22,1,10,1,0.213,16.8,0,1,1,0
667,0,0,239,20,23,0.87,9,1,0.201,19.2,1,3,3,0
667,0,0,239,27,23,1.17,8,1,0.218,21.1,0,0,0,0
720,1,3,6,4,9,0.44,4,0,0.269,21.8,0,2,2,1
720,1,3,6,5,7,0.71,4,0,0.212,17.3,1,3,3,1
720,1,3,6,8,8,1,3,0,0.265,9.0m,3,0,0,1
720,1,3,6,15,4,3.75,1,3,0.19,27.4,0,1,1,1
720,1,3,4,10,9,1.11,3,2,0.266,14.5,1,3,3,0
720,1,3,4,6,9,0.67,5,0,0.206,16.1,1,0,0,0
720,1,3,4,7,8,0.88,2,0,0.151,20.3,2,2,2,0
720,1,3,4,5,6,0.83,3,0,0.238,14.8,0,1,1,0
827,1,1,6,10,6,1.67,4,0,0.181,22.1,0,1,1,1
827,1,1,6,5,7,0.71,3,0,0.13,15.6,1,0,0,1
827,1,1,6,7,8,0.88,4,0,0.174,13.9,0,2,2,1
827,1,1,6,8,9,0.89,0,0,0.179,17.7,1,3,3,1
827,1,1,5,4,8,0.5,2,1,0.121,19.9,1,0,0,0
827,1,1,5,7,8,0.88,1,1,0.148,19.8,1,3,3,0
827,1,1,5,8,8,1,3,0,0.326,13.5,1,1,1,0
827,1,1,5,11,6,1.83,2,1,0.194,22.9,0,2,2,0
654,0,3,250,25,20,1.25,10,2,0.255,16.4,0,0,0,1
654,0,3,250,29,18,1.61,8,3,0.267,21.1,0,1,1,1
654,0,3,250,20,24,0.83,10,0,0.194,10.1,1,3,3,1
654,0,3,250,18,21,0.86,10,0,0.21,15.2,1,2,2,1
654,0,3,232,13,23,0.57,9,0,0.182,18.9,0,0,0,0
654,0,3,232,29,25,1.16,3,1,0.144,11.0,3,3,3,0
654,0,3,232,25,20,1.25,6,2,0.223,16.4,0,2,2,0
654,0,3,232,16,25,0.64,10,1,0.255,18.7,1,1,1,0
625,2,1,6,14,24,0.58,7,3,0.222,13.8,1,4,4,1
625,2,1,6,26,20,1.3,5,1,0.201,18.2,1,3,3,1
625,2,1,6,21,24,0.88,10,2,0.286,10.9,3,0,0,1
625,2,1,6,33,22,1.5,11,2,0.212,11.9,3,1,1,1
625,2,1,4,24,24,1,6,1,0.221,15.0,1,2,2,0
625,2,1,4,22,27,0.81,14,1,0.218,7.9m,3,0,0,0
625,2,1,4,20,22,0.91,7,1,0.242,20.3,0,4,4,0
625,2,1,4,24,21,1.14,6,1,0.269,14.5,1,1,1,0
625,2,2,11,27,23,1.17,8,1,0.3,15.3,1,2,2,1
625,2,2,11,25,23,1.09,5,2,0.209,10.3,3,0,0,1
625,2,2,11,29,26,1.12,8,1,0.238,14.0,3,4,4,1
625,2,2,11,32,24,1.33,9,1,0.253,10.2,3,3,3,1
625,2,2,6,18,31,0.58,6,0,0.233,14.9,3,0,0,0
625,2,2,6,27,27,1,7,1,0.22,10.7,3,4,4,0
625,2,2,6,27,29,0.93,8,2,0.258,12.8,3,1,1,0
625,2,2,6,24,26,0.92,7,1,0.241,16.3,1,2,2,0
576,0,3,140,12,21,0.57,6,1,0.211,11.4,1,0,0,0
576,0,3,140,18,17,1.06,1,0,0.203,20.4,0,2,2,0
576,0,3,140,15,18,0.83,4,2,0.22,12.0,0,1,1,0
576,0,3,140,15,22,0.68,4,0,0.205,16.0,1,3,3,0
576,0,3,250,19,12,1.58,4,1,0.267,15.3,1,3,3,1
576,0,3,250,24,17,1.41,7,1,0.214,14.5,3,0,0,1
576,0,3,250,21,12,1.75,6,2,0.208,24.8,0,2,2,1
576,0,3,250,14,19,0.74,4,2,0.259,13.7,1,1,1,1
550,0,4,250,23,14,1.64,6,2,0.187,18.7,1,3,3,1
550,0,4,250,25,16,1.56,10,5,0.215,15.7,1,0,0,1
550,0,4,250,16,18,0.89,12,1,0.214,13.2,3,2,2,1
550,0,4,250,23,17,1.35,9,0,0.201,15.4,1,1,1,1
550,0,4,168,13,23,0.57,5,0,0.22,19.7,1,2,2,0
550,0,4,168,21,18,1.17,4,2,0.216,14.9,1,0,0,0
550,0,4,168,18,22,0.82,6,0,0.273,14.6,3,3,3,0
550,0,4,168,13,24,0.54,4,0,0.245,13.6,1,1,1,0
587,1,5,2,5,7,0.71,4,0,0.207,8.8m,0,0,0,0
587,1,5,2,5,6,0.83,1,0,0.214,17.1,1,2,2,0
587,1,5,2,3,6,0.5,1,0,0.14,8.6m,3,1,1,0
587,1,5,2,6,6,1,0,0,0.242,13.3,3,3,3,0
587,1,5,6,7,5,1.4,4,0,0.226,19.2,0,3,3,1
587,1,5,6,6,5,1.2,2,1,0.184,12.7,3,0,0,1
587,1,5,6,4,5,0.8,2,1,0.257,16.8,1,2,2,1
587,1,5,6,8,4,2,2,0,0.283,10.7,1,1,1,1
544,0,3,250,21,16,1.31,9,0,0.226,14.7,1,1,1,1
544,0,3,250,21,15,1.4,7,5,0.23,21.9,0,2,2,1
544,0,3,250,22,10,2.2,9,0,0.229,14.3,1,0,0,1
544,0,3,250,19,16,1.19,7,2,0.288,15.6,1,3,3,1
544,0,3,164,13,23,0.57,4,1,0.26,12.2,1,2,2,0
544,0,3,164,13,18,0.72,5,0,0.204,16.1,0,0,0,0
544,0,3,164,14,21,0.67,6,1,0.232,14.8,1,3,3,0
544,0,3,164,17,21,0.81,3,1,0.193,17.0,0,1,1,0
627,0,4,220,25,26,0.96,12,5,0.221,14.0,1,0,0,0
627,0,4,220,21,24,0.88,8,2,0.213,12.8,3,1,1,0
627,0,4,220,26,27,0.96,12,3,0.21,12.7,3,3,3,0
627,0,4,220,25,21,1.19,6,3,0.233,16.1,1,2,2,0
627,0,4,250,27,25,1.08,10,1,0.292,15.0,1,1,1,1
627,0,4,250,15,22,0.68,11,1,0.207,16.6,1,2,2,1
627,0,4,250,31,28,1.11,4,2,0.208,12.2,3,3,3,1
627,0,4,250,25,22,1.14,9,0,0.24,13.2,3,0,0,1
625,2,6,6,14,27,0.52,14,0,0.204,16.0,1,0,0,1
625,2,6,6,20,22,0.91,5,3,0.216,26.1,0,4,4,1
625,2,6,6,29,13,2.23,12,1,0.216,15.6,1,1,1,1
625,2,6,6,27,21,1.29,8,1,0.203,15.4,3,3,3,1
625,2,6,5,22,25,0.88,8,2,0.247,16.3,1,4,4,0
625,2,6,5,17,21,0.81,11,1,0.217,11.4,1,0,0,0
625,2,6,5,29,18,1.61,9,2,0.205,25.2,0,2,2,0
625,2,6,5,15,26,0.58,5,0,0.253,12.0,1,1,1,0
659,1,3,2,10,6,1.67,0,1,0.27,20.9,2,3,3,0
659,1,3,2,3,8,0.38,1,0,0.101,26.0,1,0,0,0
659,1,3,2,4,7,0.57,1,0,0.248,17.5,0,4,4,0
659,1,3,2,4,7,0.57,0,0,0.223,13.1,0,1,1,0
659,1,3,6,5,4,1.25,4,0,0.201,20.1,0,4,4,1
659,1,3,6,14,4,3.5,1,1,0.195,14.6,3,0,0,1
659,1,3,6,6,6,1,3,1,0.195,14.4,3,3,3,1
659,1,3,6,3,7,0.43,2,0,0.193,14.7,0,1,1,1
713,1,5,3,10,6,1.67,2,0,0.219,15.1,3,1,1,0
713,1,5,3,1,7,0.14,1,0,0.172,11.6,0,2,2,0
713,1,5,3,8,8,1,1,0,0.203,10.9,1,0,0,0
713,1,5,3,2,8,0.25,3,0,0.17,7.8m,3,3,3,0
713,1,5,6,10,4,2.5,2,0,0.362,11.2,3,2,2,1
713,1,5,6,7,6,1.17,4,0,0.23,14.0,1,0,0,1
713,1,5,6,6,5,1.2,2,0,0.215,17.8,0,3,3,1
713,1,5,6,6,6,1,2,1,0.184,10.8,1,1,1,1
888,1,3,6,9,8,1.12,4,0,0.2,14.0,3,0,0,1
888,1,3,6,10,6,1.67,1,0,0.223,13.8,3,1,1,1
888,1,3,6,7,7,1,3,0,0.318,19.8,1,3,3,1
888,1,3,6,6,3,2,3,3,0.216,17.4,0,2,2,1
888,1,3,4,5,10,0.5,4,0,0.259,13.1,1,1,1,0
888,1,3,4,6,7,0.86,1,2,0.224,16.7,1,2,2,0
888,1,3,4,6,8,0.75,2,1,0.188,26.1,2,3,3,0
888,1,3,4,7,8,0.88,1,1,0.13,14.4,3,0,0,0
626,2,1,5,25,25,1,7,5,0.211,22.5,1,3,3,0
626,2,1,5,13,25,0.52,6,1,0.207,13.8,1,0,0,0
626,2,1,5,19,24,0.79,5,1,0.254,17.1,1,4,4,0
626,2,1,5,23,21,1.1,6,1,0.254,16.9,0,1,1,0
626,2,1,9,14,21,0.67,11,2,0.203,25.3,0,4,4,1
626,2,1,9,25,23,1.09,8,2,0.235,14.1,1,0,0,1
626,2,1,9,28,18,1.56,8,0,0.27,10.5,3,2,2,1
626,2,1,9,28,18,1.56,7,1,0.256,15.5,1,1,1,1
625,2,6,11,22,23,0.96,11,0,0.274,14.3,3,4,4,0
625,2,6,11,27,20,1.35,10,2,0.267,17.4,0,2,2,0
625,2,6,11,17,28,0.61,7,1,0.231,14.2,1,0,0,0
625,2,6,11,24,21,1.14,6,2,0.264,14.4,3,3,3,0
625,2,6,12,25,23,1.09,6,1,0.248,9.6m,3,4,4,1
625,2,6,12,16,22,0.73,8,3,0.23,16.3,1,0,0,1
625,2,6,12,25,23,1.09,4,3,0.304,18.1,0,3,3,1
625,2,6,12,26,22,1.18,5,2,0.252,16.6,3,1,1,1
640,0,1,129,25,31,0.81,5,2,0.242,18.5,0,0,0,0
640,0,1,129,19,29,0.66,9,3,0.203,19.8,1,2,2,0
640,0,1,129,17,24,0.71,8,2,0.169,14.6,1,1,1,0
640,0,1,129,22,28,0.79,5,1,0.195,11.1,3,3,3,0
640,0,1,250,31,20,1.55,8,4,0.266,17.3,1,3,3,1
640,0,1,250,30,20,1.5,10,0,0.209,11.0,3,0,0,1
640,0,1,250,30,23,1.3,6,1,0.212,22.8,0,2,2,1
640,0,1,250,21,20,1.05,11,2,0.232,12.9,1,1,1,1
625,2,1,6,31,23,1.35,6,1,0.238,15.8,1,0,0,1
625,2,1,6,16,25,0.64,7,1,0.208,11.6,3,1,1,1
625,2,1,6,22,26,0.85,6,3,0.249,12.5,3,4,4,1
625,2,1,6,20,21,0.95,5,4,0.191,17.6,0,2,2,1
625,2,1,2,25,24,1.04,6,0,0.293,14.0,1,1,1,0
625,2,1,2,23,22,1.05,6,1,0.233,20.3,0,4,4,0
625,2,1,2,23,23,1,6,1,0.193,13.9,1,2,2,0
625,2,1,2,24,20,1.2,11,0,0.209,13.8,3,0,0,0
604,0,0,250,20,17,1.18,6,0,0.156,16.0,1,3,3,1
604,0,0,250,15,20,0.75,11,2,0.166,15.1,1,1,1,1
604,0,0,250,22,16,1.38,5,3,0.2,19.1,0,0,0,1
604,0,0,250,24,24,1,7,0,0.248,20.4,0,2,2,1
604,0,0,218,15,18,0.83,7,1,0.22,17.8,0,2,2,0
604,0,0,218,29,20,1.45,9,1,0.218,21.0,0,0,0,0
604,0,0,218,17,22,0.77,3,2,0.236,9.8m,1,3,3,0
604,0,0,218,16,21,0.76,2,1,0.213,17.0,1,1,1,0
593,0,1,250,21,23,0.91,13,1,0.254,14.3,1,1,1,1
593,0,1,250,31,19,1.63,6,3,0.25,19.5,0,2,2,1
593,0,1,250,29,20,1.45,12,1,0.251,16.0,1,0,0,1
593,0,1,250,33,19,1.74,7,0,0.252,11.4,3,3,3,1
593,0,1,151,15,28,0.54,7,0,0.195,14.9,3,2,2,0
593,0,1,151,24,24,1,6,2,0.218,21.7,0,0,0,0
593,0,1,151,16,30,0.53,4,1,0.193,16.5,1,3,3,0
593,0,1,151,26,32,0.81,7,2,0.221,11.3,1,1,1,0
624,0,0,250,26,23,1.13,10,2,0.208,22.3,0,0,0,1
624,0,0,250,19,18,1.06,9,1,0.212,14.6,1,1,1,1
624,0,0,250,28,21,1.33,10,2,0.221,24.7,0,3,3,1
624,0,0,250,19,20,0.95,9,1,0.198,15.4,0,2,2,1
624,0,0,224,24,21,1.14,6,1,0.27,17.5,1,1,1,0
624,0,0,224,18,25,0.72,5,0,0.19,21.6,0,2,2,0
624,0,0,224,15,22,0.68,7,1,0.182,19.9,1,3,3,0
624,0,0,224,25,24,1.04,13,0,0.22,20.9,0,0,0,0
